,Symbol,Owner,Relationship,Date,Cost,Number of Shares,Value,Total Shares,Filing,Type
2,PATK,Cleveland Todd M,Executive Board Chairman,"Jul 22, 2020",$66.73,10000,667336,295500,"Jul 24, 2020, 08:25 PM",sell
3,PATK,Rodino Jeff,EVP Sales & CSO,"Jul 23, 2020",$67.50,2414,162945,109902,"Jul 24, 2020, 08:24 PM",sell
4,HOFV,Klein Michael Stuart,Director,"Jul 22, 2020",$12.18,90287,1099696,419382,"Jul 24, 2020, 08:22 PM",sell
5,BLK,Kushel J. Richard,Senior Managing Director,"Jul 24, 2020",$574.39,2182,1253328,53591,"Jul 24, 2020, 08:11 PM",sell
6,BLK,Kushel J. Richard,Senior Managing Director,"Jul 24, 2020",$575.30,2000,1150593,58265,"Jul 24, 2020, 08:11 PM",sell
7,CCXI,Vifor (International) Ltd,10% Owner,"Jul 22, 2020",$55.58,72469,4027868,9578280,"Jul 24, 2020, 07:53 PM",sell
8,CCXI,Vifor (International) Ltd,10% Owner,"Jul 24, 2020",$52.54,26050,1368737,9504595,"Jul 24, 2020, 07:53 PM",sell
9,CCXI,Vifor (International) Ltd,10% Owner,"Jul 23, 2020",$54.15,34555,1871297,9532691,"Jul 24, 2020, 07:53 PM",sell
10,RUN,Jurich Lynn Michelle,Chief Executive Officer,"Jul 22, 2020",$40.20,100000,4019760,3035640,"Jul 24, 2020, 07:10 PM",sell
11,ARES,deVeer R. Kipp,Head of Credit Group,"Jul 24, 2020",$38.87,94038,3655671,946579,"Jul 24, 2020, 07:04 PM",sell
12,ARES,deVeer R. Kipp,Head of Credit Group,"Jul 23, 2020",$41.09,8346,342937,1033704,"Jul 24, 2020, 07:04 PM",sell
13,MACK,CROCKER GARY L,See Remarks,"Jul 22, 2020",$3.09,75546,233562,0,"Jul 24, 2020, 07:03 PM",sell
14,MACK,CROCKER GARY L,See Remarks,"Jul 22, 2020",$3.08,117963,362903,0,"Jul 24, 2020, 07:03 PM",sell
15,SMAR,Barker Geoffrey T,Director,"Jul 23, 2020",$47.43,15000,711479,669561,"Jul 24, 2020, 07:02 PM",sell
16,SMAR,Barker Geoffrey T,Director,"Jul 22, 2020",$48.03,15000,720522,681099,"Jul 24, 2020, 07:02 PM",sell
17,RPAY,Alias Shaler,President,"Jul 23, 2020",$23.10,256042,5914570,0,"Jul 24, 2020, 07:00 PM",sell
18,RPAY,Alias Shaler,President,"Jul 22, 2020",$23.70,27778,658339,0,"Jul 24, 2020, 07:00 PM",sell
19,TRU,MAULDIN RICHARD DANE,EVP - Operations,"Jul 22, 2020",$90.00,1500,135000,19476,"Jul 24, 2020, 06:55 PM",sell
20,FDP,ABU-GHAZALEH MOHAMMAD,Chairman and CEO,"Jul 23, 2020",$24.02,1000,24022,7149565,"Jul 24, 2020, 06:15 PM",sell
21,NTRA,Brophy Michael Burkes,Chief Financial Officer,"Jul 22, 2020",$49.03,1626,79723,44145,"Jul 24, 2020, 06:10 PM",sell
22,CAG,Batcheler Colleen,EVP Gen Counsel & Corp Secty,"Jul 22, 2020",$36.29,6629,240566,169873,"Jul 24, 2020, 06:00 PM",sell
23,DEA,Trimble William C.,President & CEO,"Jul 22, 2020",$23.52,15000,352800,94014,"Jul 24, 2020, 05:34 PM",sell
24,MCC,Fortress Investment Group LLC,10% Owner,"Jul 23, 2020",$0.71,25900,18389,6012830,"Jul 24, 2020, 05:30 PM",sell
25,MCC,Fortress Investment Group LLC,10% Owner,"Jul 22, 2020",$0.69,47400,32706,6038730,"Jul 24, 2020, 05:30 PM",sell
26,CRVL,CLEMONS V GORDON,Chairman of the Board,"Jul 23, 2020",$77.97,1500,116951,1652646,"Jul 24, 2020, 05:30 PM",sell
27,CRVL,CLEMONS V GORDON,Chairman of the Board,"Jul 22, 2020",$77.99,1500,116990,1654146,"Jul 24, 2020, 05:30 PM",sell
28,CRVL,CLEMONS V GORDON,Chairman of the Board,"Jul 24, 2020",$76.75,1500,115123,1651146,"Jul 24, 2020, 05:30 PM",sell
29,CACC,FOSS DONALD A,10% Owner,"Jul 22, 2020",$451.45,6175,2787719,1753229,"Jul 24, 2020, 05:19 PM",sell
30,CHWY,Marte Mario Jesus,Chief Financial Officer,"Jul 22, 2020",$48.62,32037,1557533,161148,"Jul 24, 2020, 05:16 PM",sell
31,DDOG,OBSTLER DAVID M,Chief Financial Officer,"Jul 20, 2020",$91.65,205000,18787647,515994,"Jul 24, 2020, 05:14 PM",sell
32,CHWY,Bowman Stacy,Principal Accounting Officer,"Jul 22, 2020",$48.90,5600,273840,148320,"Jul 24, 2020, 05:12 PM",sell
33,KNX,Harrington Timothy Sean,Exec Vice Pres Sales,"Jul 23, 2020",$45.13,2690,121400,1199,"Jul 24, 2020, 05:10 PM",sell
34,PSMT,HILDEBRANDT JOHN D,EVP-Operations,"Jul 22, 2020",$66.20,1347,89166,14352,"Jul 24, 2020, 05:09 PM",sell
35,IQV,BOUSBIB ARI,See Remarks,"Jul 22, 2020",$160.00,46080,7372800,652035,"Jul 24, 2020, 05:09 PM",sell
36,HOOK,SOFINNOVA CAPITAL VI FCPR,10% Owner,"Jun 29, 2020",$11.78,3280,38628,3960574,"Jul 24, 2020, 05:07 PM",sell
37,KNX,KNIGHT GARY J,Vice Chairman,"Jul 23, 2020",$45.91,50000,2295555,2808976,"Jul 24, 2020, 05:07 PM",sell
38,Z AND ZG,Wacksman Jeremy,"President, Zillow","Jul 23, 2020",$69.08,87400,6037303,30765,"Jul 24, 2020, 05:06 PM",sell
39,AKTS,McMahon Jeffrey,Director,"Jul 22, 2020",$8.04,20000,160800,514338,"Jul 24, 2020, 05:05 PM",sell
40,KNX,KNIGHT KEVIN P,Executive Chairman,"Jul 22, 2020",$47.00,50000,2350000,2037215,"Jul 24, 2020, 05:02 PM",sell
41,KNX,KNIGHT KEVIN P,Executive Chairman,"Jul 23, 2020",$46.06,100000,4605670,1937215,"Jul 24, 2020, 05:02 PM",sell
42,RMNI,Winslow Daniel B.,"EVP, CLO & Corp. Sec.","Jul 24, 2020",$5.27,5000,26336,21197,"Jul 24, 2020, 05:01 PM",sell
43,RMNI,Winslow Daniel B.,"EVP, CLO & Corp. Sec.","Jul 22, 2020",$5.23,5000,26126,26197,"Jul 24, 2020, 05:01 PM",sell
44,GFN,Wilson Christopher A,"General Counsel, VP, Secretary","Jul 24, 2020",$5.97,28500,170034,138352,"Jul 24, 2020, 05:00 PM",sell
45,CSX,ZILLMER JOHN J,Director,"Jul 24, 2020",$72.13,20500,1478665,152539,"Jul 24, 2020, 05:00 PM",sell
46,WORK,Henderson Cal,Chief Technology Officer,"Jul 23, 2020",$30.93,1500,46402,140235,"Jul 24, 2020, 04:58 PM",sell
47,WORK,Henderson Cal,Chief Technology Officer,"Jul 22, 2020",$31.58,1500,47369,141689,"Jul 24, 2020, 04:58 PM",sell
48,PGNY,Payson Norman,Director,"Jul 22, 2020",$25.69,16500,423885,728000,"Jul 24, 2020, 04:54 PM",sell
49,PGNY,Payson Norman,Director,"Jul 23, 2020",$26.56,16500,438320,726231,"Jul 24, 2020, 04:54 PM",sell
50,ICE,Sprecher Jeffrey C,Chief Executive Officer,"Jul 22, 2020",$95.54,100000,9553824,3335173,"Jul 24, 2020, 04:53 PM",sell
51,MA,BANGA AJAY,Chief Executive Officer,"Jul 23, 2020",$315.89,61067,19290279,347054,"Jul 24, 2020, 04:52 PM",sell
52,ICE,Forneri Jean Marc,Director,"Jul 22, 2020",$96.01,3000,288027,18811,"Jul 24, 2020, 04:52 PM",sell
53,MRNA,Bancel Stephane,Chief Executive Officer,"Jul 23, 2020",$82.22,10000,822200,7834880,"Jul 24, 2020, 04:43 PM",sell
54,MRNA,Bancel Stephane,Chief Executive Officer,"Jul 22, 2020",$79.61,9000,716490,6694858,"Jul 24, 2020, 04:43 PM",sell
55,QURE,Kapusta Matthew C,"CEO, CFO, Managing Director","Jul 22, 2020",$42.31,5626,238025,298525,"Jul 24, 2020, 04:41 PM",sell
56,BBY,Alexander Whitney L,Chief Strategy Officer,"Jul 23, 2020",$98.42,9000,885745,40431,"Jul 24, 2020, 04:41 PM",sell
57,SFBS,FOSHEE WILLIAM M,"CFO, EVP","Jul 23, 2020",$37.49,6700,251183,319130,"Jul 24, 2020, 04:38 PM",sell
58,ONTO,ROTH STEVEN R,Senior Vice President & CFO,"Jul 23, 2020",$37.00,10000,370000,56984,"Jul 24, 2020, 04:36 PM",sell
59,PGNY,"TPG Group Holdings (SBS) Advisors, Inc.",10% Owner,"Jul 22, 2020",$25.72,22380,575607,18860118,"Jul 24, 2020, 04:35 PM",sell
60,WTRG,FOX RICHARD SCOTT,Chief Operating Officer,"Jul 22, 2020",$45.00,1000,45000,26734,"Jul 24, 2020, 04:33 PM",sell
61,QTWO,Seale R. H.,Director,"Jul 23, 2020",$95.00,150,14250,3805,"Jul 24, 2020, 04:31 PM",sell
62,QTWO,Seale R. H.,Director,"Jul 23, 2020",$95.00,149,14155,3804,"Jul 24, 2020, 04:31 PM",sell
63,PODD,Benjamin Eric,"SVP, Innovation and Strategy","Jul 23, 2020",$210.00,14912,3131520,8704,"Jul 24, 2020, 04:24 PM",sell
64,MSI,MOLLOY JOHN P,"EVP, Products & Sales","Jul 23, 2020",$145.00,3930,569850,34254,"Jul 24, 2020, 04:21 PM",sell
65,OPCH,SULLIVAN TIMOTHY P,Director,"Jul 24, 2020",$12.50,8000000,100000000,134613748,"Jul 24, 2020, 04:16 PM",sell
66,OPCH,BETTEN ELIZABETH QUADROS,Director,"Jul 24, 2020",$12.50,8000000,100000000,134613748,"Jul 24, 2020, 04:15 PM",sell
67,ZNGA,Bromberg Matthew S,Chief Operating Officer,"Jul 22, 2020",$9.82,12000,117840,860704,"Jul 24, 2020, 04:14 PM",sell
68,OPCH,MADISON DEARBORN PARTNERS LLC,Director,"Jul 24, 2020",$12.50,8000000,100000000,134613748,"Jul 24, 2020, 04:14 PM",sell
69,CARG,Steinert Langley,CEO and Chairman,"Jul 23, 2020",$25.01,24011,600515,751196,"Jul 24, 2020, 04:13 PM",sell
70,CARG,Steinert Langley,CEO and Chairman,"Jul 22, 2020",$24.65,987,24330,168792,"Jul 24, 2020, 04:13 PM",sell
71,CARG,Steinert Langley,CEO and Chairman,"Jul 22, 2020",$24.65,12006,295948,775207,"Jul 24, 2020, 04:13 PM",sell
72,CARG,Steinert Langley,CEO and Chairman,"Jul 23, 2020",$25.01,1974,49370,166818,"Jul 24, 2020, 04:13 PM",sell
73,BIG,Bachmann Lisa M,Executive Vice President,"Jul 22, 2020",$42.36,19352,819751,111034,"Jul 24, 2020, 04:10 PM",sell
74,AAOI,Yeh Shu-Hua (Joshua),*** See Remarks,"Jul 22, 2020",$15.01,2000,30018,149841,"Jul 24, 2020, 04:05 PM",sell
75,AAOI,Kuo David C,General Counsel and Secretary,"Jul 22, 2020",$15.00,2000,30000,61567,"Jul 24, 2020, 04:03 PM",sell
76,PTC,FERNANDEZ PHILLIP M,Director,"Jul 23, 2020",$83.51,250,20878,21304,"Jul 24, 2020, 04:03 PM",sell
77,SNX,MURAI KEVIN M,Director,"Jul 22, 2020",$122.40,4600,563051,11673,"Jul 24, 2020, 02:53 PM",sell
78,DECK,Garcia Thomas,"SVP, General Counsel","Jul 23, 2020",$209.00,1000,209000,19617,"Jul 24, 2020, 02:47 PM",sell
79,MKSI,BAGSHAW SETH H,"Sr. VP, CFO & Treasurer","Jul 23, 2020",$124.74,4995,623099,22102,"Jul 24, 2020, 02:10 PM",sell
80,MKSI,BAGSHAW SETH H,"Sr. VP, CFO & Treasurer","Jul 22, 2020",$123.00,5,615,24164,"Jul 24, 2020, 02:10 PM",sell
81,STXS,Isaac Paul J,10% Owner,"Jul 23, 2020",$4.10,100,410,4223879,"Jul 24, 2020, 01:50 PM",sell
82,STXS,Isaac Paul J,10% Owner,"Jul 22, 2020",$4.13,5200,21476,4223979,"Jul 24, 2020, 01:47 PM",sell
83,CIEN,SMITH GARY B,"President, CEO","Jul 22, 2020",$54.41,4250,231258,373452,"Jul 24, 2020, 01:31 PM",sell
84,CIEN,SMITH GARY B,"President, CEO","Jul 23, 2020",$55.38,4250,235363,369202,"Jul 24, 2020, 01:31 PM",sell
85,BGIO,Rieder Richard M,Portfolio Manager,"Jul 22, 2020",$8.30,5500,45655,489397,"Jul 24, 2020, 01:27 PM",sell
86,RKFL,Rouf Henrik,10% Owner,"Oct 23, 2019",$4.00,10000,40000,2780543,"Jul 24, 2020, 01:19 PM",sell
87,RKFL,Rouf Henrik,10% Owner,"May 22, 2019",$4.00,25000,100000,2900543,"Jul 24, 2020, 01:19 PM",sell
88,RKFL,Rouf Henrik,10% Owner,"Feb 28, 2020",$4.00,11250,45000,2736793,"Jul 24, 2020, 01:19 PM",sell
89,RKFL,Rouf Henrik,10% Owner,"Sep 16, 2019",$4.00,35000,140000,2790543,"Jul 24, 2020, 01:19 PM",sell
90,RKFL,Rouf Henrik,10% Owner,"Jan 14, 2020",$4.00,15000,60000,2768043,"Jul 24, 2020, 01:19 PM",sell
91,RKFL,Rouf Henrik,10% Owner,"Jul 19, 2019",$4.00,17500,70000,2825543,"Jul 24, 2020, 01:19 PM",sell
92,RKFL,Rouf Henrik,10% Owner,"Jun 25, 2020",$0.03,200000,5000,2516168,"Jul 24, 2020, 01:19 PM",sell
93,RKFL,Rouf Henrik,10% Owner,"Dec 20, 2019",$4.00,7500,30000,2733043,"Jul 24, 2020, 01:19 PM",sell
94,RKFL,Rouf Henrik,10% Owner,"May 31, 2019",$4.00,17500,70000,2843043,"Jul 24, 2020, 01:19 PM",sell
95,RKFL,Rouf Henrik,10% Owner,"May 04, 2020",$0.90,72500,65250,2679168,"Jul 24, 2020, 01:19 PM",sell
96,CFB,O'Toole David L.,CPO & Chief Investment Officer,"Jul 22, 2020",$9.96,500,4980,36331,"Jul 24, 2020, 12:57 PM",sell
97,RKFL,Rouf Henrik,10% Owner,"May 31, 2019",$4.00,17500,70000,2843043,"Jul 24, 2020, 11:27 AM",sell
98,RKFL,Rouf Henrik,10% Owner,"May 04, 2020",$0.90,72500,65250,2679168,"Jul 24, 2020, 11:27 AM",sell
99,RKFL,Rouf Henrik,10% Owner,"Oct 23, 2019",$4.00,10000,40000,2780543,"Jul 24, 2020, 11:27 AM",sell
100,RKFL,Rouf Henrik,10% Owner,"May 22, 2019",$4.00,25000,100000,2900543,"Jul 24, 2020, 11:27 AM",sell
101,RKFL,Rouf Henrik,10% Owner,"Feb 28, 2020",$4.00,11250,45000,2736793,"Jul 24, 2020, 11:27 AM",sell
102,RKFL,Rouf Henrik,10% Owner,"Sep 16, 2019",$4.00,35000,140000,2790543,"Jul 24, 2020, 11:27 AM",sell
103,RKFL,Rouf Henrik,10% Owner,"Jan 14, 2020",$4.00,15000,60000,2768043,"Jul 24, 2020, 11:27 AM",sell
104,RKFL,Rouf Henrik,10% Owner,"Jul 19, 2019",$4.00,17500,70000,2825543,"Jul 24, 2020, 11:27 AM",sell
105,RKFL,Rouf Henrik,10% Owner,"Jun 25, 2020",$25.00,200000,5000000,2516168,"Jul 24, 2020, 11:27 AM",sell
106,RKFL,Rouf Henrik,10% Owner,"Dec 20, 2019",$4.00,7500,30000,2733043,"Jul 24, 2020, 11:27 AM",sell
1,RKFL,Rouf Henrik,10% Owner,"May 31, 2019",$4.00,17500,70000,2843043,"Jul 24, 2020, 11:27 AM",sell
2,RKFL,Rouf Henrik,10% Owner,"May 04, 2020",$0.90,72500,65250,2679168,"Jul 24, 2020, 11:27 AM",sell
3,RKFL,Rouf Henrik,10% Owner,"Oct 23, 2019",$4.00,10000,40000,2780543,"Jul 24, 2020, 11:27 AM",sell
4,RKFL,Rouf Henrik,10% Owner,"May 22, 2019",$4.00,25000,100000,2900543,"Jul 24, 2020, 11:27 AM",sell
5,RKFL,Rouf Henrik,10% Owner,"Feb 28, 2020",$4.00,11250,45000,2736793,"Jul 24, 2020, 11:27 AM",sell
6,RKFL,Rouf Henrik,10% Owner,"Sep 16, 2019",$4.00,35000,140000,2790543,"Jul 24, 2020, 11:27 AM",sell
7,RKFL,Rouf Henrik,10% Owner,"Jan 14, 2020",$4.00,15000,60000,2768043,"Jul 24, 2020, 11:27 AM",sell
8,RKFL,Rouf Henrik,10% Owner,"Jul 19, 2019",$4.00,17500,70000,2825543,"Jul 24, 2020, 11:27 AM",sell
9,RKFL,Rouf Henrik,10% Owner,"Jun 25, 2020",$25.00,200000,5000000,2516168,"Jul 24, 2020, 11:27 AM",sell
10,RKFL,Rouf Henrik,10% Owner,"Dec 20, 2019",$4.00,7500,30000,2733043,"Jul 24, 2020, 11:27 AM",sell
11,KR,MOORE CLYDE R,Director,"Jul 23, 2020",$35.24,13000,458120,119677,"Jul 24, 2020, 10:04 AM",sell
12,PLMR,Uchida T Christopher,Chief Financial Officer,"Jul 22, 2020",$84.71,600,50826,38906,"Jul 23, 2020, 09:42 PM",sell
13,PLMR,Fisher Heath A,President,"Jul 22, 2020",$86.16,5000,430789,20000,"Jul 23, 2020, 09:40 PM",sell
14,PLMR,Armstrong Mac,CEO and Chairman,"Jul 22, 2020",$86.13,12500,1076597,775388,"Jul 23, 2020, 09:39 PM",sell
15,PINS,Silbermann Benjamin,"Chairman, President, CEO, Co-F","Jul 21, 2020",$25.76,58559,1508609,0,"Jul 23, 2020, 09:26 PM",sell
16,PINS,Sharp Evan,Co-Founder & Chief Design & Cr,"Jul 21, 2020",$25.85,61962,1602015,0,"Jul 23, 2020, 09:25 PM",sell
17,QTRX,HRUSOVSKY E KEVIN,"Chairman, President & CEO","Jul 21, 2020",$31.87,2636,84016,1064204,"Jul 23, 2020, 08:38 PM",sell
18,KTOS,Lund Deanna H,EVP & CFO,"Jul 21, 2020",$16.15,7500,121141,236437,"Jul 23, 2020, 08:35 PM",sell
19,PLMR,Robinson Andrew T,Chief Underwriting Officer,"Jul 21, 2020",$83.35,2500,208366,121615,"Jul 23, 2020, 08:20 PM",sell
20,PSTG,Dietzen Scott,Director,"Jul 23, 2020",$18.00,9454,170172,2291056,"Jul 23, 2020, 08:20 PM",sell
21,PSTG,Dietzen Scott,Director,"Jul 22, 2020",$18.02,179914,3242068,2300510,"Jul 23, 2020, 08:20 PM",sell
22,PSTG,Dietzen Scott,Director,"Jul 21, 2020",$18.02,166595,3002401,2480424,"Jul 23, 2020, 08:20 PM",sell
23,KTOS,DEMARCO ERIC M,President & CEO,"Jul 21, 2020",$16.10,10000,160957,449650,"Jul 23, 2020, 08:16 PM",sell
24,NVCR,Ambrogi Michael J.,Chief Operating Officer,"Jul 22, 2020",$67.02,42972,2879966,250259,"Jul 23, 2020, 07:43 PM",sell
25,NVCR,Ambrogi Michael J.,Chief Operating Officer,"Jul 21, 2020",$65.06,3321,216072,220867,"Jul 23, 2020, 07:43 PM",sell
26,NVCR,LEUNG GABRIEL,Director,"Jul 21, 2020",$65.07,500,32536,72045,"Jul 23, 2020, 07:32 PM",sell
27,NVCR,LEUNG GABRIEL,Director,"Jul 22, 2020",$67.03,9500,636797,81122,"Jul 23, 2020, 07:32 PM",sell
28,FND,AXELROD NORMAN,Director,"Jul 21, 2020",$62.50,10910,681875,6862,"Jul 23, 2020, 07:31 PM",sell
29,FND,AXELROD NORMAN,Director,"Jul 23, 2020",$67.50,34000,2295000,6862,"Jul 23, 2020, 07:31 PM",sell
30,FND,AXELROD NORMAN,Director,"Jul 22, 2020",$64.90,34000,2206600,6862,"Jul 23, 2020, 07:31 PM",sell
31,FND,TAYLOR THOMAS V,CHIEF EXECUTIVE OFFICER,"Jul 21, 2020",$63.85,75000,4788750,236668,"Jul 23, 2020, 07:30 PM",sell
32,GRWG,"Merida Capital Partners, LP",Former 10% Owner,"Jul 21, 2020",$8.12,25000,203050,1476997,"Jul 23, 2020, 07:14 PM",sell
33,GRWG,"Merida Capital Partners, LP",Former 10% Owner,"Jul 23, 2020",$7.70,115000,885235,1316997,"Jul 23, 2020, 07:14 PM",sell
34,GRWG,"Merida Capital Partners, LP",Former 10% Owner,"Jul 22, 2020",$7.58,60000,454740,1416997,"Jul 23, 2020, 07:14 PM",sell
35,IMMR,Haidamus Ramzi,President and CEO,"Jul 21, 2020",$6.69,8970,59998,66243,"Jul 23, 2020, 07:13 PM",sell
36,CRM,Benioff Marc,Chair of the Board & CEO,"Jul 23, 2020",$191.02,15000,2865356,29981316,"Jul 23, 2020, 07:01 PM",sell
37,RMNI,Grady Sebastian,President,"Jul 23, 2020",$5.32,5792,30813,5500,"Jul 23, 2020, 06:52 PM",sell
38,RMNI,Grady Sebastian,President,"Jul 21, 2020",$5.32,1144,6087,5500,"Jul 23, 2020, 06:52 PM",sell
39,POWI,Bailey Doug,VP Marketing,"Jul 22, 2020",$121.95,500,60975,59361,"Jul 23, 2020, 06:32 PM",sell
40,FB,Newstead Jennifer,VP and General Counsel,"Jul 21, 2020",$246.22,194,47767,2112,"Jul 23, 2020, 06:25 PM",sell
41,STZ,SANDS ROBERT,Chairman of the Board,"Jul 22, 2020",$179.80,122203,21972263,596738,"Jul 23, 2020, 06:13 PM",sell
42,STZ,SANDS ROBERT,Chairman of the Board,"Jul 21, 2020",$181.20,90184,16340924,577682,"Jul 23, 2020, 06:13 PM",sell
43,STZ,SANDS RICHARD,Vice Chairman of the Board,"Jul 21, 2020",$181.17,151404,27430116,186769,"Jul 23, 2020, 06:13 PM",sell
44,STZ,SANDS RICHARD,Vice Chairman of the Board,"Jul 22, 2020",$179.81,184489,33172870,270544,"Jul 23, 2020, 06:13 PM",sell
45,CRM,Tallapragada Srinivas,Pres/Chief Engineering Officer,"Jul 23, 2020",$192.70,335,64554,42119,"Jul 23, 2020, 06:12 PM",sell
46,AMKR,Faust Megan,CFO,"Jul 23, 2020",$12.41,4500,55845,7219,"Jul 23, 2020, 06:07 PM",sell
47,MNTA,GILMAN STEVEN C,Director,"Jul 22, 2020",$33.23,10000,332300,7796,"Jul 23, 2020, 05:55 PM",sell
48,FAST,Miller Charles S.,Senior Executive VP,"Jul 21, 2020",$45.31,34957,1584031,7500,"Jul 23, 2020, 05:43 PM",sell
49,FAST,Jansen James C,Executive Vice President,"Jul 21, 2020",$45.55,15000,683241,25176,"Jul 23, 2020, 05:43 PM",sell
50,MNTA,FIER IAN,Chief Mfg and Program Officer,"Jul 22, 2020",$32.48,33504,1088313,1350,"Jul 23, 2020, 05:42 PM",sell
51,PFSI,Walker David M,Chief Risk Officer,"Jul 22, 2020",$44.71,5000,223566,268085,"Jul 23, 2020, 05:29 PM",sell
52,PFSI,Walker David M,Chief Risk Officer,"Jul 21, 2020",$43.97,10000,439740,273385,"Jul 23, 2020, 05:29 PM",sell
53,USX,Pate Lisa M,10% Owner,"Jul 21, 2020",$7.04,20000,140778,2463914,"Jul 23, 2020, 05:28 PM",sell
54,HZO,MCLAMB MICHAEL H,"Executive VP, CFO and Sec","Jul 22, 2020",$27.28,5000,136400,87840,"Jul 23, 2020, 05:27 PM",sell
55,HZO,MCLAMB MICHAEL H,"Executive VP, CFO and Sec","Jul 21, 2020",$25.86,10000,258650,97840,"Jul 23, 2020, 05:27 PM",sell
56,PFSI,MCCALLION ANNE,Director,"Jul 22, 2020",$44.69,5000,223450,128606,"Jul 23, 2020, 05:27 PM",sell
57,HZO,MCLAMB MICHAEL H,"Executive VP, CFO and Sec","Jul 23, 2020",$28.68,5000,143409,82940,"Jul 23, 2020, 05:27 PM",sell
58,PFSI,MCCALLION ANNE,Director,"Jul 21, 2020",$43.95,5000,219737,133638,"Jul 23, 2020, 05:27 PM",sell
59,SYNA,McFarland John,"SVP, General Counsel & Sec.","Jul 21, 2020",$80.00,3000,240000,17880,"Jul 23, 2020, 05:22 PM",sell
60,SONO,Millington Nicholas,Chief Innovation Officer,"Jul 21, 2020",$16.87,30450,513646,56405,"Jul 23, 2020, 05:16 PM",sell
61,BILL,Aji Rajesh A.,General Counsel & CCO,"Jul 21, 2020",$86.38,6000,518301,47699,"Jul 23, 2020, 05:14 PM",sell
62,FREQ,Loose Christopher R.,Chief Scientific Officer,"Jul 22, 2020",$21.51,4500,96791,161782,"Jul 23, 2020, 05:10 PM",sell
63,COLM,BANY SARAH,10% Owner,"Jul 23, 2020",$81.78,25000,2044388,7397878,"Jul 23, 2020, 05:09 PM",sell
64,COLM,BANY SARAH,10% Owner,"Jul 22, 2020",$80.08,1108,88729,7399178,"Jul 23, 2020, 05:09 PM",sell
65,DDOG,Agarwal Amit,Chief Product Officer,"Jul 21, 2020",$91.25,14000,1277546,11400,"Jul 23, 2020, 05:09 PM",sell
66,DDOG,Agarwal Amit,Chief Product Officer,"Jul 21, 2020",$91.22,1009,92039,869,"Jul 23, 2020, 05:09 PM",sell
67,DDOG,Agarwal Amit,Chief Product Officer,"Jul 21, 2020",$91.32,3509,320430,137371,"Jul 23, 2020, 05:09 PM",sell
68,COLM,Gertrude Boyle Trust,10% Owner,"Jul 22, 2020",$80.08,1108,88729,7399178,"Jul 23, 2020, 05:08 PM",sell
69,COLM,Gertrude Boyle Trust,10% Owner,"Jul 23, 2020",$81.78,25000,2044388,7397878,"Jul 23, 2020, 05:08 PM",sell
70,ABT,AUSTIN ROXANNE S,Director,"Jul 22, 2020",$99.80,6844,683038,40043,"Jul 23, 2020, 05:07 PM",sell
71,PLXS,Frisch Steven J.,Exec VP & Chief Operating Off.,"Jul 21, 2020",$74.45,4750,353637,48318,"Jul 23, 2020, 05:05 PM",sell
72,PLXS,Frisch Steven J.,Exec VP & Chief Operating Off.,"Jul 23, 2020",$77.83,9500,739385,53068,"Jul 23, 2020, 05:05 PM",sell
73,ABT,PEDERSON MICHAEL J,Senior Vice President,"Jul 21, 2020",$98.00,23008,2254784,73891,"Jul 23, 2020, 05:04 PM",sell
74,HLIX,VENEGAS ZACHARY L,Chief Executive Officer,"Jul 21, 2020",$0.10,5000,500,22007228,"Jul 23, 2020, 05:04 PM",sell
75,HLIX,VENEGAS ZACHARY L,Chief Executive Officer,"Jul 22, 2020",$0.09,5000,450,22002228,"Jul 23, 2020, 05:04 PM",sell
76,SYNA,NOLAN KERMIT,See Remarks,"Jul 21, 2020",$79.52,5488,436391,52481,"Jul 23, 2020, 05:02 PM",sell
77,GNSS,"AWM Investment Company, Inc.",10% Owner,"Jul 22, 2020",$4.52,11239,50747,4775059,"Jul 23, 2020, 04:57 PM",sell
78,GNSS,"AWM Investment Company, Inc.",10% Owner,"Jul 21, 2020",$4.81,32408,155874,4798348,"Jul 23, 2020, 04:57 PM",sell
79,TENB,Vintz Stephen A,Chief Financial Officer,"Jul 22, 2020",$31.80,17738,564068,93649,"Jul 23, 2020, 04:56 PM",sell
80,TENB,Vintz Stephen A,Chief Financial Officer,"Jul 21, 2020",$31.83,5948,189325,111387,"Jul 23, 2020, 04:56 PM",sell
81,NEM,Cmil Jennifer,"EVP, Human Resources","Jul 21, 2020",$65.00,2571,167115,19660,"Jul 23, 2020, 04:55 PM",sell
82,SYNA,BUCHANAN JEFFREY D,Director,"Jul 21, 2020",$78.22,7500,586650,12681,"Jul 23, 2020, 04:55 PM",sell
83,RNG,Agarwal Vaibhav,Chief Accounting Officer,"Jul 21, 2020",$279.64,480,134226,20284,"Jul 23, 2020, 04:52 PM",sell
84,HLIX,Ogur Scott Matthew,Chief Financial Officer,"Jul 21, 2020",$0.10,5000,500,22007228,"Jul 23, 2020, 04:51 PM",sell
85,HLIX,Ogur Scott Matthew,Chief Financial Officer,"Jul 22, 2020",$0.09,5000,450,22002228,"Jul 23, 2020, 04:51 PM",sell
86,CDLX,Laube Lynne Marie,Chief Executive Officer,"Jul 22, 2020",$73.43,2000,146860,14565,"Jul 23, 2020, 04:49 PM",sell
87,AVGO,TAN HOCK E,President and CEO,"Jul 21, 2020",$315.18,57171,18018974,298789,"Jul 23, 2020, 04:40 PM",sell
